Rank,Player,Team,Position,Auction Value
59,Zay Brown WR28,CHI,WR,$14.9
60,Trey Dell RB23,ARI,RB,$14.1
61,Bijan Nacua RB24,ARI,RB,$14.1
62,Jaxon Samuel WR27,NO,WR,$13.2
63,Chris Bowers TE6,DET,TE,$13.2
64,Puka Odunze QB6,BAL,QB,$12.3
65,Justin Nacua QB7,PHI,QB,$12.3
66,Micah Hall RB25,NYG,RB,$12.3
67,Marvin Kincaid WR29,NYJ,WR,$12.3
68,Malik Odunze WR30,CHI,WR,$12.3
69,Rome Corum WR31,DET,WR,$12.3
70,Jahmyr Tracy RB26,BAL,RB,$11.5
71,Nico McBride RB27,SEA,RB,$11.5
72,Rashee Samuel WR32,KC,WR,$11.5
73,Rashee Gibbs WR33,NO,WR,$11.5
74,Zay London TE7,ATL,TE,$11.5
75,Breece Johnston WR34,PHI,WR,$10.6
76,Deebo Smith-Njigba QB8,SEA,QB,$9.7
77,Micah Nacua RB28,PHI,RB,$9.7
78,Isiah Shakir RB29,NYG,RB,$9.7
79,Tyrone McBride RB31,BAL,RB,$9.7
80,Amon-Ra London WR35,CIN,WR,$9.7
81,Trey Johnston WR36,SF,WR,$9.7
82,Brock Hall TE8,LAR,TE,$9.7
83,Cooper Pacheco RB30,KC,RB,$8.8
84,Micah Hall RB32,NYJ,RB,$8.8
85,Zay Parsons WR37,LAR,WR,$8.8
86,Khalil Nacua QB9,DET,QB,$8
87,Justin Lamb RB33,DET,RB,$8
88,Marvin London RB34,BUF,RB,$8
89,Rome LaPorta WR38,DAL,WR,$8
90,Puka Gibbs WR39,ATL,WR,$8
91,Amon-Ra Wilson WR40,DAL,WR,$8
92,Trey Pacheco TE9,PHI,TE,$8
93,Amon-Ra Dell TE10,MIN,TE,$8
94,Khalil Kincaid QB10,PHI,QB,$7.1
95,Cooper Johnston RB35,DAL,RB,$7.1
96,Brock Lamb RB37,NYJ,RB,$7.1
97,Brock Dell WR41,MIN,WR,$7.1
98,Micah Nabers TE11,CIN,TE,$7.1
99,Jordan Samuel QB11,LAR,QB,$6.2
100,Jordan Hall RB36,CIN,RB,$6.2
101,Tyrone Flowers RB38,ATL,RB,$6.2
102,Bijan Jefferson RB39,LV,RB,$6.2
103,Micah Williams RB40,CIN,RB,$6.2
104,Puka Shakir WR42,SF,WR,$6.2
105,Rome Brown WR43,SEA,WR,$6.2
106,Drake Tracy WR44,LAR,WR,$6.2
107,Sam McBride WR45,DET,WR,$6.2
108,Nico Johnston TE12,CIN,TE,$6.2
109,Bijan Kincaid QB12,NO,QB,$5.4
110,Tank Harrison RB41,SEA,RB,$5.4
111,Tank Parsons RB42,NO,RB,$5.4
112,Garrett Harrison WR46,KC,WR,$5.4
113,Tyrone Samuel WR47,CHI,WR,$5.4
114,CeeDee Jefferson WR48,ARI,WR,$5.4
115,Tank Tracy WR49,ARI,WR,$5.4
116,Breece Nacua TE13,DAL,TE,$5.4
117,Khalil Collins QB13,KC,QB,$4.5
118,Nico Hall RB43,NO,RB,$4.5
119,Garrett Pacheco RB44,NO,RB,$4.5
120,Malik Odunze WR50,KC,WR,$4.5
121,Jahmyr Johnston WR51,BUF,WR,$4.5
122,Kyren Tracy WR52,PHI,WR,$4.5
123,Malik Brown TE14,HOU,TE,$4.5
124,CeeDee London QB14,HOU,QB,$3.6
125,Rashee Robinson QB15,SEA,QB,$3.6
126,Trey Brown RB45,NYJ,RB,$3.6
127,Malik Parsons RB46,ARI,RB,$3.6
128,Malik Tracy RB47,CHI,RB,$3.6
129,Marvin Gibbs RB48,NYJ,RB,$3.6
130,CeeDee Rice RB49,ARI,RB,$3.6
131,Tyrone Pacheco RB50,NYJ,RB,$3.6
132,Cooper Wilson WR53,NO,WR,$3.6
133,CeeDee Flowers WR54,NYJ,WR,$3.6
134,Malik Rice WR55,NYJ,WR,$3.6
135,Dalton Addison WR56,BAL,WR,$3.6
136,Tank Pacheco WR57,CHI,WR,$3.6
137,Tyrone Dell WR58,CIN,WR,$3.6
138,Bijan Addison TE15,ATL,TE,$3.6
139,Micah Collins TE16,MIN,TE,$3.6
140,Tyrone Pacheco QB16,BAL,QB,$2.7
141,Khalil Jefferson QB17,BUF,QB,$2.7
142,Trey London QB18,TB,QB,$2.7
143,Kyren Williams RB51,DET,RB,$2.7
144,Sam Shakir RB52,CHI,RB,$2.7
145,Cooper Johnston RB53,CIN,RB,$2.7
146,Kyren Samuel RB55,DAL,RB,$2.7
147,Jordan Kupp WR59,DET,WR,$2.7
148,Isiah Jefferson WR60,NO,WR,$2.7
149,Micah Parsons WR61,DET,WR,$2.7
150,Rome Flowers WR62,DET,WR,$2.7
151,Jahmyr Rice WR63,MIN,WR,$2.7
152,Jahmyr Nabers WR64,LAR,WR,$2.7
153,Bijan Williams TE17,ARI,TE,$2.7
154,Trey Hall DST1,ATL,DST,$2.7
155,Dalton Tracy QB19,DET,QB,$1.9
156,Chris London QB20,NO,QB,$1.9
157,Puka Samuel RB54,BAL,RB,$1.9
158,Amon-Ra Kupp RB56,ARI,RB,$1.9
159,Kyren Rice RB57,DAL,RB,$1.9
160,Brock Samuel RB58,NYG,RB,$1.9
161,Rashee McBride RB59,KC,RB,$1.9
162,Amon-Ra Collins RB60,ARI,RB,$1.9
163,Bijan Olave WR65,CHI,WR,$1.9
164,Blake Pacheco WR66,NO,WR,$1.9
165,CeeDee London WR67,SF,WR,$1.9
166,Quentin Dell WR68,LAR,WR,$1.9
167,Jahmyr Lamb WR69,LAR,WR,$1.9
168,Quentin Hall WR70,ARI,WR,$1.9
169,Quentin Kincaid WR71,HOU,WR,$1.9
170,Kyren Smith-Njigba WR72,LAR,WR,$1.9
171,Sam Nacua TE18,SF,TE,$1.9
172,Tyrone Robinson TE19,CIN,TE,$1.9
173,Nico Odunze TE20,MIN,TE,$1.9
174,Garrett Hall TE21,LV,TE,$1.9
175,Tyrone Brown K1,BUF,K,$1.9
176,Jordan Smith-Njigba DST2,CIN,DST,$1.9
177,Micah Olave DST3,LV,DST,$1.9
178,Bijan Odunze QB21,KC,QB,$1
179,Malik Rice QB22,SF,QB,$1
180,Amon-Ra Pacheco QB23,MIN,QB,$1
181,Jaxon Gibbs QB24,CHI,QB,$1
182,Malik Olave TE22,PHI,TE,$1
183,Quentin LaPorta TE23,BUF,TE,$1
184,Quentin Flowers TE24,NYJ,TE,$1
185,Jaxon Lamb K2,DET,K,$1
186,Chris Flowers K3,ATL,K,$1
187,Tank Jefferson K4,LAR,K,$1
188,Nico Addison K5,KC,K,$1
189,Micah Samuel K6,CIN,K,$1
190,Tyrone Odunze K7,SF,K,$1
191,Zay Pacheco K8,NYJ,K,$1
192,Amon-Ra Odunze K9,CHI,K,$1
193,Zay Hall K10,CIN,K,$0
194,Brock LaPorta K11,TB,K,$0
195,Cooper Harrison K12,BUF,K,$0
196,Malik Collins K13,TB,K,$0
197,Puka Johnston K14,KC,K,$0
198,Jahmyr Addison DST4,BUF,DST,$0
199,Tank Flowers DST5,ATL,DST,$0
200,Justin Smith-Njigba DST6,SEA,DST,$0
201,Garrett Corum DST7,SEA,DST,$0
202,Rome Kupp DST8,TB,DST,$0
203,Jordan Lamb DST9,TB,DST,$0
204,Zay Corum DST10,MIN,DST,$0
205,Trey Flowers DST11,MIN,DST,$0
206,Drake Lamb DST12,LV,DST,$0
207,Chris Brown DST13,CHI,DST,$0
208,Kyren Robinson DST14,PHI,DST,$0
